Timestamp,Do you consent to participate in this academic research survey?,Age,"Program or Field of Study (e.g., BSc CSIT, BBA, MBBS, etc.)", Current Year of Study,Living Situation,Current CGPA(average GPA that you remember) or Overall CGPA (if graduated),Have you ever given compart exam or repeated course?,Average attendance in semesters till now,Daily study hours (outside class including the time of assignments and projects),I revise class materials regularly,Rate your faculty's academic teaching capability,"Use of online platforms (YouTube, Coursera, etc.)",How often do you do group studies?,Do you ask for help with teachers while facing academic difficulties?,Stress level regarding academics,Average sleep per night,Do you feel supported by friends or family in your academics?,How is your friend circle academically?,Estimated monthly household income (NPR),Are you the first in your family to attend university?,Do you work a part-time job while studying?,How much does financial pressure affect your studies?,Do family responsibilities affect your study time?,I am confident I will complete my degree,I feel motivated to do well in university,Anything else you'd like to share about your academic experience or challenges?,Column 28
06/30/2025 07:13:55,Yes,24,BCA,4th,At home with family,3.0,No,50%–75%,1 to 2,4,4,Always,Rarely,Rarely,2,7–8 hrs,Sometimes,1,"<15,000",No,No,5,Rarely,5,4,,
05/23/2025 07:15:16,Yes,22,Btech AI,4th,Other,3.67,No,>90%,<1,3,2,Sometimes,Rarely,Rarely,2,6–7 hrs,Always,5,">50,000",Yes,No,4,No,3,1,,
06/08/2025 09:46:42,Yes,23,BCA,4th,Alone,3.55,No,>90%,<1,4,2,Sometimes,Frequently,"Yes, regularly",4,6–7 hrs,Frequently,2,"30,000–50,000",No,No,3,Sometimes,2,3,Family expectations create additional pressure to perform well.,
06/17/2025 01:43:52,Yes,28,CS,3rd,Rented/shared room,3.47,No,>90%,1 to 2,2,1,Frequently,Rarely,No,2,7–8 hrs,Frequently,4,">50,000",No,No,5,Sometimes,5,5,Finding time for self-study alongside assignments is tough.,
06/23/2025 01:12:29,Yes,23,BSc,Graduated,Hostel,3.63,No,50%–75%,<1,4,4,Frequently,Rarely,No,1,5–6 hrs,Always,4,"30,000–50,000",Yes,No,1,Sometimes,4,5,,
05/18/2025 10:19:40,Yes,31,Computer Engineering,4th,Hostel,3.05,No,>90%,1 to 2,3,2,Frequently,Rarely,No,1,5–6 hrs,Rarely,5,"30,000–50,000",Yes,No,4,Rarely,4,5,,
06/28/2025 20:17:34,Yes,22,BSc.CS,Graduated,At home with family,3.36,Yes,<50%,<1,2,3,Rarely,Sometimes,Sometimes,2,7–8 hrs,Sometimes,5,"15,000–30,000",No,Yes,1,Rarely,5,3,,
07/25/2025 00:53:20,Yes,19,BBM LLB,Graduated,At home with family,3.36,No,75%–90%,1 to 2,1,5,Frequently,Rarely,Sometimes,2,6–7 hrs,Frequently,1,"<15,000",Yes,No,2,Sometimes,4,4,,
05/17/2025 21:44:59,Yes,46,BDS,Graduated,Rented/shared room,2.95,Yes,>90%,2 to 3,1,3,Rarely,Rarely,Sometimes,3,>8 hrs,Never,3,"15,000–30,000",No,Yes,2,No,5,4,,
06/13/2025 09:03:08,Yes,40,Nursing,Graduated,Hostel,3.17,No,50%–75%,>4,1,1,Frequently,Sometimes,"Yes, regularly",5,<5 hrs,Always,2,"15,000–30,000",No,No,3,Rarely,5,4,,
07/25/2025 09:48:07,Yes,25,BBIS,3rd,Other,3.54,No,>90%,1 to 2,2,1,Never,Frequently,Rarely,5,6–7 hrs,Always,5,">50,000",Yes,No,2,No,5,4,,
05/23/2025 20:57:27,Yes,25,Computer Engineering,3rd,Rented/shared room,2.98,No,>90%,1 to 2,2,3,Rarely,Frequently,Rarely,2,6–7 hrs,Always,3,"<15,000",No,No,5,No,2,3,,
06/11/2025 11:32:50,Yes,20,MPPM,Graduated,Hostel,3.72,No,>90%,<1,1,4,Rarely,Rarely,Sometimes,4,6–7 hrs,Sometimes,3,">50,000",No,No,4,Sometimes,2,2,,
06/06/2025 18:06:14,Yes,22,BBM LLB,Graduated,At home with family,3.42,No,75%–90%,1 to 2,3,3,Frequently,Sometimes,Rarely,4,<5 hrs,Always,3,"30,000–50,000",No,No,4,Sometimes,4,4,,
07/03/2025 09:43:43,Yes,20,BCE,4th,Hostel,3.4,No,>90%,3 to 4,1,4,Rarely,Rarely,"Yes, regularly",4,6–7 hrs,Always,3,">50,000",No,No,1,No,5,4,,
07/16/2025 13:09:31,Yes,22,CE,4th,Hostel,2.87,Yes,>90%,1 to 2,5,4,Never,Rarely,Sometimes,3,6–7 hrs,Always,4,"<15,000",No,No,2,Rarely,4,3,,
05/29/2025 04:12:52,Yes,23,CM,4th,Hostel,3.1,No,>90%,1 to 2,2,3,Rarely,Never,Rarely,5,6–7 hrs,Frequently,1,"30,000–50,000",Yes,No,4,No,3,3,,
07/23/2025 12:54:16,Yes,47,Btech AI,4th,At home with family,3.34,No,>90%,<1,2,5,Never,Sometimes,"Yes, regularly",3,6–7 hrs,Rarely,3,"15,000–30,000",No,No,2,Sometimes,5,5,,
06/30/2025 13:10:24,Yes,23,EMBA,Graduated,Hostel,3.88,Yes,>90%,>4,1,2,Always,Sometimes,"Yes, regularly",4,7–8 hrs,Never,5,">50,000",No,No,2,No,5,5,,
06/03/2025 22:47:05,Yes,24,BPT,4th,At home with family,3.44,No,75%–90%,1 to 2,5,3,Frequently,Never,Rarely,4,6–7 hrs,Never,4,"15,000–30,000",Yes,No,5,Significantly,4,2,,
06/03/2025 15:15:13,Yes,23,BIT,1st,Rented/shared room,3.14,Yes,75%–90%,<1,5,3,Frequently,Rarely,No,3,<5 hrs,Always,5,"<15,000",No,Yes,2,Sometimes,4,4,,
06/15/2025 21:20:49,Yes,47,BBA,2nd,At home with family,2.06,No,<50%,1 to 2,2,3,Sometimes,Rarely,Rarely,4,6–7 hrs,Always,1,">50,000",Yes,Yes,3,Significantly,5,1,,
07/15/2025 02:29:02,Yes,21,BE,Graduated,At home with family,3.1,Yes,>90%,1 to 2,4,3,Never,Sometimes,Sometimes,3,6–7 hrs,Rarely,5,">50,000",No,Yes,2,Sometimes,1,2,,
07/17/2025 19:37:33,Yes,23,CM,2nd,Alone,4.0,No,75%–90%,2 to 3,3,1,Rarely,Sometimes,Rarely,5,5–6 hrs,Always,5,"30,000–50,000",Yes,Yes,1,Significantly,5,2,,
06/07/2025 14:59:43,Yes,22,Nursing,4th,Rented/shared room,3.93,No,>90%,2 to 3,4,2,Frequently,Rarely,No,5,7–8 hrs,Always,5,"30,000–50,000",No,Yes,5,No,4,3,,
06/26/2025 20:39:48,Yes,24,CE,3rd,At home with family,3.99,Yes,>90%,<1,4,1,Sometimes,Frequently,"Yes, regularly",5,6–7 hrs,Always,4,"15,000–30,000",No,No,4,Rarely,5,5,,
06/11/2025 04:22:29,Yes,22,MPhil,4th,Other,3.36,No,75%–90%,1 to 2,5,3,Frequently,Frequently,No,3,7–8 hrs,Sometimes,5,"30,000–50,000",No,No,5,Rarely,5,4,,
05/21/2025 06:41:02,Yes,23,ME,4th,Rented/shared room,3.64,Yes,>90%,<1,1,3,Frequently,Frequently,Sometimes,3,6–7 hrs,Rarely,4,"30,000–50,000",No,No,4,No,5,4,,
07/08/2025 07:00:46,Yes,24,EMBA,2nd,At home with family,3.47,No,>90%,2 to 3,3,3,Never,Never,Sometimes,3,6–7 hrs,Always,3,"30,000–50,000",No,No,3,Rarely,5,3,,
07/05/2025 22:57:19,Yes,22,BIM,4th,Rented/shared room,3.37,No,75%–90%,<1,2,1,Sometimes,Frequently,"Yes, regularly",5,>8 hrs,Always,2,">50,000",No,No,5,Sometimes,4,3,The best way to predict the future is to create it.,
06/18/2025 04:53:03,Yes,28,Computer Engineering,4th,Rented/shared room,3.02,No,>90%,1 to 2,3,2,Sometimes,Never,Rarely,5,5–6 hrs,Frequently,4,">50,000",No,Yes,5,Rarely,4,3,,
07/17/2025 15:17:12,Yes,24,Btech AI,Graduated,Alone,3.46,No,>90%,3 to 4,2,2,Frequently,Sometimes,"Yes, regularly",5,6–7 hrs,Rarely,3,">50,000",No,No,1,Sometimes,4,2,The pressure to maintain high grades affects mental well-being.,
07/04/2025 17:38:13,Yes,24,BBA,1st,Rented/shared room,3.4,No,>90%,<1,2,4,Frequently,Sometimes,No,4,<5 hrs,Always,5,"30,000–50,000",Yes,Yes,5,Sometimes,3,5,,
07/20/2025 17:45:57,Yes,23,B.E,4th,At home with family,3.49,No,<50%,3 to 4,1,1,Frequently,Sometimes,Sometimes,4,6–7 hrs,Always,5,">50,000",Yes,Yes,3,No,1,4,,
06/24/2025 07:28:16,Yes,23,EMBA,Graduated,At home with family,3.14,No,>90%,<1,2,5,Sometimes,Rarely,No,1,6–7 hrs,Always,4,"15,000–30,000",No,No,1,Rarely,5,2,,
07/18/2025 06:01:44,Yes,25,BBIS,2nd,Rented/shared room,2.95,No,75%–90%,<1,2,3,Sometimes,Rarely,"Yes, regularly",4,7–8 hrs,Sometimes,5,"30,000–50,000",No,No,2,Rarely,4,2,The academic system needs more practical applications.,
06/19/2025 09:20:09,Yes,21,CA,4th,At home with family,3.24,No,>90%,3 to 4,3,1,Frequently,Frequently,Rarely,3,>8 hrs,Frequently,1,"15,000–30,000",Yes,Yes,2,Rarely,1,5,,
07/03/2025 13:24:59,Yes,23,Geomatics Engineering,4th,Hostel,3.68,Yes,75%–90%,1 to 2,3,3,Sometimes,Never,Rarely,2,6–7 hrs,Never,4,"15,000–30,000",No,No,4,No,2,2,None,
06/12/2025 09:20:04,Yes,23,BE,1st,At home with family,3.15,Yes,75%–90%,2 to 3,2,5,Sometimes,Sometimes,Sometimes,5,>8 hrs,Always,5,">50,000",No,Yes,2,Sometimes,4,5,,
06/18/2025 10:39:40,Yes,24,Mechanical Engineering,4th,Rented/shared room,3.25,No,>90%,<1,4,3,Frequently,Rarely,Sometimes,4,7–8 hrs,Rarely,4,"15,000–30,000",No,No,5,No,5,5,,
05/17/2025 16:05:37,Yes,21,LLB,Graduated,Hostel,3.14,No,75%–90%,<1,2,3,Frequently,Rarely,Rarely,2,>8 hrs,Frequently,3,"15,000–30,000",No,Yes,1,No,5,4,,
05/17/2025 16:27:33,Yes,24,B.Tech in AI,4th,Rented/shared room,3.16,No,75%–90%,<1,1,4,Always,Rarely,No,2,>8 hrs,Always,2,"30,000–50,000",No,No,5,No,5,4,,
05/13/2025 02:18:19,Yes,23,MPPM,4th,Hostel,3.42,Yes,>90%,<1,1,2,Always,Sometimes,Rarely,4,6–7 hrs,Always,4,">50,000",No,Yes,2,Rarely,5,4,,
06/13/2025 13:48:16,Yes,41,Geomatics Engineering,4th,At home with family,3.43,No,50%–75%,<1,5,4,Frequently,Never,No,4,5–6 hrs,Always,3,"15,000–30,000",No,No,2,Significantly,4,5,,
07/19/2025 23:56:00,Yes,25,B.Tech in AI,4th,Alone,4.0,No,75%–90%,<1,1,3,Sometimes,Never,Rarely,5,5–6 hrs,Always,5,"15,000–30,000",Yes,No,5,No,5,3,,
05/16/2025 04:41:51,Yes,22,Nursing,1st,At home with family,3.51,No,>90%,3 to 4,1,1,Sometimes,Rarely,No,5,5–6 hrs,Always,4,"30,000–50,000",No,Yes,1,Sometimes,5,3,,
06/02/2025 00:10:22,Yes,22,B.Sc,3rd,Hostel,3.64,No,>90%,3 to 4,2,3,Always,Rarely,"Yes, regularly",4,>8 hrs,Frequently,1,">50,000",No,No,5,Significantly,5,4,,
05/22/2025 06:31:48,Yes,23,MBBS,4th,Other,3.63,No,>90%,1 to 2,1,4,Never,Frequently,Sometimes,4,6–7 hrs,Always,1,"15,000–30,000",No,Yes,3,Significantly,4,4,,
07/10/2025 18:07:40,Yes,22,BE,2nd,Rented/shared room,3.32,No,<50%,<1,3,2,Never,Never,Sometimes,5,5–6 hrs,Never,4,">50,000",Yes,No,4,Sometimes,4,2,,
05/24/2025 16:28:16,Yes,22,BSc.CS,4th,Alone,2.92,No,<50%,1 to 2,2,3,Sometimes,Sometimes,Sometimes,4,>8 hrs,Always,3,">50,000",No,Yes,1,Sometimes,1,4,,
07/27/2025 19:51:55,Yes,24,MPPM,4th,At home with family,3.49,No,>90%,1 to 2,2,4,Sometimes,Sometimes,Sometimes,4,7–8 hrs,Sometimes,4,">50,000",Yes,No,5,No,4,4,,
06/23/2025 10:56:40,Yes,25,B.Sc,4th,Rented/shared room,3.37,No,>90%,1 to 2,3,3,Never,Rarely,No,1,6–7 hrs,Sometimes,4,"30,000–50,000",No,No,2,Sometimes,4,5,,
07/26/2025 10:40:49,Yes,46,MBS,4th,At home with family,3.09,No,75%–90%,<1,3,3,Never,Rarely,Sometimes,2,7–8 hrs,Rarely,4,">50,000",No,Yes,5,Sometimes,5,3,,
05/17/2025 11:07:41,Yes,25,LLB,Graduated,At home with family,3.46,No,75%–90%,1 to 2,2,5,Rarely,Sometimes,Rarely,5,6–7 hrs,Sometimes,3,">50,000",No,Yes,1,Rarely,5,4,Hard work always pays off.,
05/14/2025 18:12:20,Yes,29,BIT,Graduated,Other,3.25,No,>90%,1 to 2,2,3,Rarely,Sometimes,"Yes, regularly",3,6–7 hrs,Sometimes,5,">50,000",Yes,No,3,No,4,3,,
07/27/2025 12:49:40,Yes,18,BBA,Graduated,At home with family,2.97,No,>90%,<1,1,1,Rarely,Rarely,"Yes, regularly",5,6–7 hrs,Always,3,">50,000",No,No,1,No,5,3,The pressure to maintain high grades affects mental well-being.,
05/18/2025 13:32:29,Yes,24,BIT,4th,Hostel,3.59,No,75%–90%,<1,4,4,Never,Rarely,Rarely,5,7–8 hrs,Always,4,"<15,000",Yes,No,3,Rarely,5,4,,
05/22/2025 13:40:33,Yes,23,BCA,Graduated,At home with family,3.53,No,>90%,1 to 2,4,4,Never,Rarely,"Yes, regularly",3,7–8 hrs,Always,5,"30,000–50,000",No,No,4,No,4,2,,
06/17/2025 07:17:50,Yes,25,BDS,4th,At home with family,4.0,No,>90%,1 to 2,2,3,Rarely,Sometimes,No,5,7–8 hrs,Rarely,3,"<15,000",No,No,5,Rarely,5,3,The journey of a thousand miles begins with a single step.,
06/09/2025 02:01:09,Yes,30,BDS,4th,Hostel,2.83,No,<50%,2 to 3,5,1,Frequently,Rarely,Rarely,5,7–8 hrs,Always,1,">50,000",Yes,No,4,No,1,3,,
06/21/2025 05:06:14,Yes,22,BSc,4th,Rented/shared room,3.75,No,75%–90%,<1,2,3,Sometimes,Rarely,"Yes, regularly",2,7–8 hrs,Sometimes,5,"15,000–30,000",Yes,No,2,Sometimes,4,2,,
07/15/2025 06:31:37,Yes,23,Nursing,Graduated,Hostel,3.44,No,>90%,2 to 3,1,3,Sometimes,Sometimes,"Yes, regularly",5,>8 hrs,Frequently,2,">50,000",No,No,5,Sometimes,5,4,,
06/09/2025 08:12:12,Yes,21,MPhil,4th,Alone,3.3,Yes,>90%,1 to 2,1,4,Frequently,Sometimes,No,4,6–7 hrs,Always,4,">50,000",No,No,4,No,3,5,,
07/30/2025 06:17:58,Yes,23,Environmental Engineering,4th,Rented/shared room,3.81,No,50%–75%,1 to 2,2,2,Sometimes,Sometimes,Sometimes,5,7–8 hrs,Always,5,">50,000",No,No,1,No,4,4,,
05/14/2025 19:21:38,Yes,29,BCE,Graduated,At home with family,3.58,No,75%–90%,2 to 3,2,1,Rarely,Frequently,No,2,7–8 hrs,Always,4,"30,000–50,000",No,No,1,Rarely,3,4,,
06/30/2025 05:08:31,Yes,37,ENE,Graduated,Rented/shared room,3.16,No,>90%,<1,2,3,Frequently,Rarely,No,4,6–7 hrs,Sometimes,4,">50,000",No,Yes,1,No,2,4,,
06/22/2025 12:13:36,Yes,23,Computer Engineering,2nd,At home with family,3.19,No,>90%,<1,2,4,Sometimes,Rarely,"Yes, regularly",2,7–8 hrs,Frequently,4,"30,000–50,000",No,No,2,Sometimes,5,4,,
07/24/2025 11:14:58,Yes,22,CS,4th,At home with family,3.76,No,>90%,<1,1,4,Rarely,Rarely,"Yes, regularly",4,6–7 hrs,Always,4,">50,000",Yes,No,4,No,5,3,,
07/08/2025 09:27:29,Yes,21,Civil Engineering,4th,Rented/shared room,3.98,No,75%–90%,<1,3,4,Frequently,Never,Rarely,5,5–6 hrs,Rarely,1,"30,000–50,000",No,Yes,4,Sometimes,3,3,Infrastructure limitations affect learning experience.,
07/25/2025 05:45:13,Yes,24,Btech AI,Graduated,Alone,3.15,Yes,>90%,1 to 2,3,3,Sometimes,Sometimes,Rarely,3,6–7 hrs,Frequently,5,"15,000–30,000",Yes,No,1,Sometimes,5,3,,
07/08/2025 15:50:48,Yes,25,BIM,4th,Alone,3.96,No,>90%,<1,5,3,Frequently,Rarely,"Yes, regularly",4,6–7 hrs,Rarely,4,"15,000–30,000",No,No,2,No,5,4,,
06/22/2025 19:29:19,Yes,23,B.Tech,4th,Rented/shared room,3.17,No,>90%,<1,4,5,Sometimes,Rarely,Sometimes,4,6–7 hrs,Always,5,"15,000–30,000",No,No,4,Rarely,1,2,Finding time for self-study alongside assignments is tough.,
06/26/2025 04:06:40,Yes,22,MBA,2nd,At home with family,3.72,No,50%–75%,2 to 3,5,3,Rarely,Never,Sometimes,4,>8 hrs,Always,2,">50,000",No,Yes,1,Rarely,5,5,,
07/18/2025 10:31:27,Yes,25,B.Tech,4th,Alone,3.15,No,75%–90%,3 to 4,1,3,Rarely,Never,Sometimes,5,6–7 hrs,Always,3,">50,000",Yes,No,3,Rarely,5,5,Financial constraints make it hard to focus fully on academics.,
05/26/2025 21:26:12,Yes,25,BCE,4th,At home with family,3.03,No,>90%,<1,4,3,Never,Never,"Yes, regularly",5,<5 hrs,Frequently,4,"30,000–50,000",No,No,3,Rarely,1,5,Quality education is the foundation of success.,
05/26/2025 14:11:42,Yes,43,MBA,Graduated,At home with family,2.77,No,>90%,2 to 3,3,1,Frequently,Rarely,Sometimes,3,<5 hrs,Always,1,"15,000–30,000",No,Yes,5,Significantly,5,3,,
07/11/2025 13:38:15,Yes,25,BDS,4th,At home with family,2.98,No,50%–75%,<1,4,4,Never,Never,Sometimes,3,7–8 hrs,Always,5,">50,000",Yes,No,1,Significantly,5,2,,
07/28/2025 05:46:31,Yes,23,BBM LLB,2nd,Hostel,2.76,No,50%–75%,3 to 4,1,2,Frequently,Rarely,Sometimes,5,6–7 hrs,Rarely,5,"30,000–50,000",No,No,5,Sometimes,5,3,,
06/04/2025 16:42:23,Yes,22,MBBS,5th,Rented/shared room,2.97,No,50%–75%,<1,3,5,Sometimes,Frequently,Rarely,4,5–6 hrs,Frequently,3,"15,000–30,000",No,No,4,Sometimes,4,4,,
06/10/2025 23:06:28,Yes,36,Environmental Engineering,3rd,Alone,3.14,No,>90%,3 to 4,4,4,Rarely,Rarely,No,3,7–8 hrs,Frequently,5,">50,000",No,Yes,4,No,5,4,,
07/08/2025 12:14:25,Yes,22,Environmental Engineering,4th,Rented/shared room,3.45,No,<50%,1 to 2,5,4,Frequently,Rarely,"Yes, regularly",2,<5 hrs,Sometimes,4,"<15,000",No,No,4,No,5,3,,
05/14/2025 13:14:46,Yes,21,BBIS,Graduated,Rented/shared room,3.31,No,75%–90%,>4,5,3,Frequently,Sometimes,Sometimes,5,6–7 hrs,Always,5,"15,000–30,000",No,No,3,Significantly,5,4,,
05/19/2025 21:02:02,Yes,25,ENE,1st,At home with family,3.58,Yes,>90%,<1,1,1,Frequently,Sometimes,Rarely,2,6–7 hrs,Sometimes,5,"15,000–30,000",Yes,No,1,Sometimes,5,5,,
07/05/2025 03:07:25,Yes,28,B.A.LLB,5th,Rented/shared room,3.14,No,>90%,<1,3,1,Rarely,Never,No,4,>8 hrs,Rarely,1,">50,000",No,No,5,Rarely,3,5,,
07/21/2025 02:39:18,Yes,22,Bpt,Graduated,At home with family,3.77,Yes,75%–90%,1 to 2,1,3,Frequently,Frequently,Rarely,1,<5 hrs,Sometimes,1,">50,000",Yes,No,2,Sometimes,5,4,,
05/31/2025 14:39:27,Yes,19,Environmental Engineering,Graduated,Rented/shared room,3.56,No,>90%,1 to 2,2,3,Always,Frequently,Rarely,3,5–6 hrs,Sometimes,1,"<15,000",Yes,Yes,1,Rarely,3,5,Your attitude determines your direction.,
06/02/2025 09:50:35,Yes,23,BE,4th,At home with family,4.0,No,75%–90%,1 to 2,5,3,Rarely,Never,Sometimes,5,7–8 hrs,Frequently,4,"30,000–50,000",Yes,No,1,Rarely,5,3,,
06/01/2025 04:47:48,Yes,29,BCA,Graduated,Hostel,3.31,No,>90%,2 to 3,4,2,Frequently,Frequently,Rarely,4,6–7 hrs,Always,5,"15,000–30,000",No,No,4,Rarely,5,4,,
06/02/2025 17:25:41,Yes,23,MBA,4th,Hostel,2.97,No,>90%,3 to 4,3,1,Always,Frequently,"Yes, regularly",4,6–7 hrs,Frequently,5,">50,000",Yes,Yes,3,No,5,4,,
05/14/2025 16:39:16,Yes,22,GE,2nd,At home with family,3.64,No,50%–75%,<1,1,1,Frequently,Sometimes,No,5,7–8 hrs,Always,3,">50,000",No,No,1,No,2,3,,
07/10/2025 13:26:48,Yes,21,MBBS,1st,At home with family,3.93,No,75%–90%,1 to 2,4,4,Rarely,Never,"Yes, regularly",3,6–7 hrs,Always,4,">50,000",No,No,5,No,4,4,,
07/30/2025 15:08:15,Yes,22,BPT,5th,At home with family,3.28,No,75%–90%,1 to 2,2,5,Never,Rarely,No,2,>8 hrs,Always,5,"<15,000",No,No,2,Rarely,5,4,,
06/03/2025 06:44:19,Yes,26,B.E,5th,Rented/shared room,3.47,Yes,75%–90%,<1,1,4,Sometimes,Frequently,Rarely,1,6–7 hrs,Always,3,">50,000",No,Yes,2,No,5,3,,
06/26/2025 09:31:23,Yes,28,Bpt,Graduated,Hostel,3.07,Yes,75%–90%,3 to 4,1,4,Frequently,Never,Sometimes,2,6–7 hrs,Rarely,4,"<15,000",Yes,No,2,Rarely,5,4,,
07/20/2025 16:01:09,Yes,22,BA.LLB,Graduated,Alone,3.57,No,>90%,3 to 4,3,2,Never,Never,No,5,7–8 hrs,Always,3,"30,000–50,000",Yes,No,2,Rarely,5,4,Lack of industry exposure in curriculum is concerning.,
06/27/2025 16:43:53,Yes,23,BPT,Graduated,At home with family,3.91,Yes,>90%,1 to 2,3,2,Frequently,Rarely,Rarely,4,6–7 hrs,Always,2,"30,000–50,000",Yes,No,5,Rarely,5,3,,
05/28/2025 10:25:45,Yes,21,B.A.LLB,Graduated,Rented/shared room,3.47,No,>90%,<1,3,2,Frequently,Never,"Yes, regularly",5,6–7 hrs,Always,4,">50,000",Yes,No,1,Rarely,4,2,,
07/12/2025 14:06:00,Yes,22,Computer science,4th,Rented/shared room,3.31,No,75%–90%,<1,5,3,Sometimes,Rarely,Rarely,4,>8 hrs,Frequently,4,"30,000–50,000",Yes,Yes,3,No,2,5,,
07/30/2025 08:50:54,Yes,23,B.E,4th,At home with family,3.84,No,50%–75%,<1,1,5,Sometimes,Rarely,No,2,<5 hrs,Always,3,">50,000",No,No,1,Significantly,5,3,,
05/17/2025 09:26:30,Yes,22,Bpt,3rd,Hostel,2.87,No,50%–75%,1 to 2,2,4,Frequently,Rarely,Rarely,1,6–7 hrs,Rarely,4,">50,000",No,No,3,Sometimes,5,1,,
07/30/2025 10:35:10,Yes,25,MPPM,4th,Rented/shared room,3.28,Yes,75%–90%,1 to 2,2,1,Sometimes,Never,"Yes, regularly",5,7–8 hrs,Always,2,"<15,000",No,No,2,Sometimes,5,5,,
07/28/2025 12:12:21,Yes,23,CS,5th,Hostel,3.18,No,75%–90%,<1,1,4,Frequently,Rarely,Rarely,3,5–6 hrs,Frequently,4,"15,000–30,000",No,No,5,Significantly,4,4,,
07/27/2025 04:32:04,Yes,22,Bpt,Graduated,At home with family,2.81,No,75%–90%,<1,1,4,Sometimes,Never,"Yes, regularly",5,5–6 hrs,Rarely,3,"15,000–30,000",No,No,3,Sometimes,5,4,,
07/09/2025 13:20:18,Yes,26,ME,Graduated,At home with family,3.89,No,>90%,3 to 4,4,2,Frequently,Rarely,Rarely,4,6–7 hrs,Always,4,">50,000",Yes,No,1,Significantly,5,4,,
06/17/2025 07:56:40,Yes,25,B.Tech,4th,Hostel,2.74,No,>90%,2 to 3,1,1,Sometimes,Rarely,Sometimes,1,7–8 hrs,Always,3,"30,000–50,000",No,Yes,1,Rarely,5,4,,
05/25/2025 15:06:15,Yes,24,Computer Engineering,Graduated,At home with family,3.06,Yes,75%–90%,1 to 2,4,3,Never,Sometimes,"Yes, regularly",3,6–7 hrs,Sometimes,3,"30,000–50,000",Yes,Yes,1,Sometimes,4,1,,
06/24/2025 07:16:10,Yes,25,MBS,4th,Hostel,3.08,No,>90%,1 to 2,2,1,Sometimes,Never,No,5,7–8 hrs,Frequently,5,">50,000",No,No,4,No,3,3,,
07/20/2025 19:14:36,Yes,38,BSc.CS,Graduated,Rented/shared room,3.0,No,75%–90%,<1,4,2,Sometimes,Rarely,"Yes, regularly",4,6–7 hrs,Rarely,5,"<15,000",No,No,2,Sometimes,5,4,,
